answer,human,vader,textblob,roberta,distilbert
I see these as appropriate and correct.,0.5,0.0,0.5,0.725,0.17
"I totally agree with the changes to postal voting, counting and staffing. Last time there seemed to be an unusually high number of postal votes.  I would like to see photo ID. being a future requirement for voting. I would also like a stop put to activists collecting postal votes from old folks homes etc.",0.5,0.733,0.052,0.286,-0.071
no view,0.0,-0.296,0.0,-0.075,-0.294
The proposed chanted appear to be in the best interests of ensuring that the referendum is run in without undue delays or will make the process more difficult.,0.5,0.816,0.333,-0.336,0.612
"Only those in, training for or actively searching for employment should be allowed to vote. Those who are not fail to or at least fail to want to contribute to society, so why should they have a say?",-0.5,0.238,-0.137,-0.45,0.186
No issues,0.5,-0.296,0.0,-0.032,0.006
Same as answer one,0.5,0.0,0.0,0.003,0.096
Changes will not have a detrimental effect on polling and counting.,0.5,0.0,0.0,-0.045,0.14
"Voting in any referendum or election should be for those aged 18 and over - the SNP have only introduced voting for 16 and 17 year olds in an attempt to win the last independence vote. Just like the Nazis in the 1930's, the SNP are trying to brainwash the young and easily influenced. If they can fool 51 percent of the population and insult the intelligence of the remaining 49 percent to win independence, then that is exactly what the SNP will do.  The SNP gave the vote to 16/17 year olds saying they should get a say. Bollocks. If 16/17 year olds were mature enough and had sufficient life experience to make an informed decision, then they shouldn't have an SNP Snooper, (aka Named Person), they should be allowed to drink, smoke and watch porn or violent films and they sure as hell should be named and shamed when they commit a crime!!",-1.0,-0.226,0.159,-0.794,-0.775
I agree with these changes,0.5,0.361,0.0,0.751,0.183
Makes sense.,0.5,0.0,0.0,0.101,-0.026
"I think the franchise is too wide and designed to capture as many pro-independence votes as possible.  In the last vote, I was excluded as I then lived in England but European citizens and virtually every 'tom dick and harry' who might have voted 'yes' was free to vote and the Government still lost.  The vote should be restricted to Scots born in Scotland, no matter where they live, inside or outside Scotland.",-0.5,-0.559,0.117,-0.564,-0.435
SNP trying to bend the rules,-0.5,0.0,0.0,-0.423,-0.684
It seems like an inclusive system.,0.5,0.361,0.0,0.719,0.145
Good,1.0,0.44,0.7,0.606,0.975
"Absent voting has been a concern of mine however most of what is proposed seems to elevate that, having checks on 100% of identifiers is a great improvement.  Polling and Counting Staff has been a deep worry for the nation, it has been witnessed in the previous referendum of rigging taking place during live news feeds and nothing done. greater scrutiny during the counting process and outside of the UK observers is recommended as anyone from the UK will have some kind of interest in proceedings and are not beyond the element of cheating for their own intentions.  i agree with counting officers being disallowed to employ anyone they know to have been involved in the campaign but recommend background checks to be secure in their selection  Verification is a good addition.",0.5,0.944,0.37,0.161,-0.144
This seems fine,0.5,0.202,0.417,0.825,0.245
No particular concerns,0.5,-0.296,-0.083,-0.142,0.055
Much better and more clearer and have a very good chance of being Yes vote.,0.5,0.877,0.637,0.923,0.877
no opinion,0.0,-0.296,0.0,-0.184,-0.25
These seem appropriate and a referendum is necessary and urgent given Scotland's position with regard to Brexit and the evident will to remain in the European Union.,1.0,0.202,0.188,0.286,0.115
none.  this is a legal matters and should  not be here.,-0.5,0.153,0.2,-0.702,-0.318
I agree with these changes,0.5,0.361,0.0,0.751,0.183
Agree,0.5,0.361,0.0,0.054,0.448
Happy with these,0.5,0.572,0.8,0.931,0.977
I see these as appropriate and correct.,0.5,0.0,0.5,0.725,0.17
Does this go far enough to prevent undue influence from donors outwith Scotland.,0.0,0.026,0.05,-0.245,-0.243
"Large individual donations by individuals should be restricted this time to £20,000. This includes auctions to raise funds for groups supporting and opposing the bill.",0.0,0.077,0.116,-0.127,0.145
"Changes need to show full transparency. This will allow the public the have confidence that a fair process is underway with no party or campaigner abusing the system to help gain unfair advantages.   I feel that any future campaign should be a wakeful campaign, like the last referendum.  It is welcomed that any participants who attempt to be offensive are rejected.",0.5,0.592,0.092,0.015,-0.026
No issues,0.5,-0.296,0.0,-0.032,0.006
Same as answer one,0.5,0.0,0.0,0.003,0.096
Necessary adjustments.,0.5,0.0,0.0,-0.046,-0.344
"I don't think this will matter. When you see the SNP/Scottish Government ignoring the democratic will of the people per the last indy vote and ignoring polls showing that the majority of Scots DO NOT WANT ANOTHER REFERENDUM; if you also look at the various press reports about SNP members, (even elected representatives), breaking election rules and being investigated by the police for fraud, embezzlement, etc, then what chance has democracy got anyway? On the evidence I have seen the SNP will lie and cheat to get what they want anyway and screw everybody else.",-1.0,-0.841,0.0,-0.879,-0.764
I agree with these changes,0.5,0.361,0.0,0.751,0.183
"Fine. One thing that I feel needs to be stressed is the inclusive nature both of the referendum and the country. What also needs to be stressed is that all will be welcome once the process is completed, regardless of the result.",0.5,0.0,0.608,0.148,0.041
If these changes prevent the anti-English behaviour of some 'Yes' supporters then they are worthwhile.,0.0,0.743,0.5,0.178,-0.117
Designed to make it easier for the SNP to win,-0.5,0.765,0.8,0.341,0.651
Good,1.0,0.44,0.7,0.606,0.975
These changes suit my views.,0.5,0.0,0.0,0.372,0.225
Splened can't wait to campaign for a Yes vote.,1.0,0.402,0.0,0.891,0.009
"If the UK/Westminster government takes a position, then their expenses must be declared as being part of the 'union' campaign.",0.0,0.0,0.0,-0.278,-0.063
"There should be a criminal offence for parties or campaigners who distribute and apply to public and private property, windows, roadsigns, lampposts, etc, any posters, stickers and signs that can not be easily removed. This includes plastic self adhesive stickers. This is public littering in the extreme.",0.0,-0.604,-0.015,-0.9,-0.511
These seem appropriate and a referendum is necessary and urgent given Scotland's position with regard to Brexit and the evident will to remain in the European Union.,1.0,0.202,0.188,0.286,0.115
since the last referendum was a once in a generation referendum.  All costs for the Referendum should be funded by the SNP party. not the tax payers.,-0.5,0.402,0.0,-0.293,0.035
"I agree, and spending should be reported during the campaign so that anomalies can be investigated before any vote",0.5,0.361,0.0,-0.082,-0.328
"Agreed. Additionally, spending by or funded from residents outside Scotland should be testricted to nominal levels.",0.5,0.273,0.0,-0.1,0.048
Spending should be kept to a minimum.  I would hope the expense of running this referendum would come from budgets that had been fundraised or from party donations rather than taking this from money that would have been better spent funding local public services.,0.5,0.818,0.1,-0.403,-0.051
I see these as appropriate and correct.,0.5,0.0,0.5,0.725,0.17
I am concerned that allegations of fraud from the 2016 general election seem to have stalled and wonder how effective this part will be implemented.,-0.5,-0.361,0.325,-0.804,-0.684
"All campaign expenses need to be accurate, open and transparent. Both sides of the campaign must be able to demonstrate that they are acting fairly in accordance with referendum rules. This will help the public know that when they vote, they are answering a question from a campaign that is free from people making gains from unfair finances.",0.5,0.743,0.188,0.173,0.264
No issues,0.5,-0.296,0.0,-0.032,0.006
Same as answer one,0.5,0.0,0.0,0.003,0.096
Agree with proposals.,0.5,0.361,0.0,0.495,0.25
See above response.,0.5,0.0,0.0,-0.072,0.141
I agree with these changes,0.5,0.361,0.0,0.751,0.183
"This needs to be policed very proactively. As we have seen with the UK Parliamentary elections, dishonesty and outright spending fraud is depressingly frequent. If the result is to be accepted, regardless of what it is, both sides need to ensure that all aspects of the campaign are conducted with flawless honesty.",0.5,0.477,0.433,-0.547,-0.766
"There should be no permitted pro-independence spending by the present Scottish Government. If the SNP want to promote independence, let them do it with their own money, not the taxpayers.",-0.5,0.178,0.3,-0.497,-0.179
There shouldn't be a referendum - got on with the day job. No means no,-1.0,-0.08,0.156,-0.649,-0.202
The seem fair,0.5,0.318,0.7,0.277,0.562
Good,1.0,0.44,0.7,0.606,0.975
Expenses and accounting changes all suitable.  However may i urge that added rules be laid out to cover non-factual and mis-information being used in the campaign to be banned by some means as this is quite prevalent in the last referendum.,0.5,-0.649,0.079,-0.348,-0.251
Totally agree.,0.5,0.42,0.0,0.578,0.387
no opinion,0.0,-0.296,0.0,-0.184,-0.25
Don't waste you money on a pointless and divisive exercise.,-1.0,0.325,-0.225,-0.881,-0.471
These seem appropriate and a referendum is necessary and urgent given Scotland's position with regard to Brexit and the evident will to remain in the European Union.,1.0,0.202,0.188,0.286,0.115
Agree,0.5,0.361,0.0,0.054,0.448
Agreed,0.5,0.273,0.0,0.309,0.376
Spending should be kept to a minimum.  I would hope the expense of running this referendum would come from budgets that had been fundraised or from party donations rather than taking this from money that would have been better spent funding local public services.,0.5,0.818,0.1,-0.403,-0.051
I see these as appropriate and correct.,0.5,0.0,0.5,0.725,0.17
This will help aid fairness of the campaign. Changes also de-insensitive any bad transactions by making it an offence.   Any changes that will help to ensure a fairly run campaign are welcomed.,0.5,0.572,0.0,0.707,0.041
No issues,0.5,-0.296,0.0,-0.032,0.006
Same as answer one,0.5,0.0,0.0,0.003,0.096
Agree with proposals.,0.5,0.361,0.0,0.495,0.25
See above response.,0.5,0.0,0.0,-0.072,0.141
I agree with these changes,0.5,0.361,0.0,0.751,0.183
See my answer to #4,0.5,0.0,0.0,-0.031,0.148
No views on this other than that perhaps pro-independence organisations and others might want to be careful as to how their money is managed on their behalf.,0.0,-0.077,-0.113,-0.255,-0.313
Great,1.0,0.625,0.8,0.575,0.973
i am in agreement with these proposed changes.,0.5,0.494,0.0,0.889,0.176
